Code,Neighborhood,Municipality,Population,Area,Population Density,18-29,30-44,45-64,65+,Unemployment Rate,Not In Good Health,Health Index
1,Grote Markt,Brussel,3384,0.38664,8752.36,25,30.11,26.33,8.1,19.49,23.31,1.05
2,Dansaert,Brussel,9217,0.53287,17296.75,21.33,28.3,23.25,8.39,23.87,29.57,1.43
3,Begijnhof - Diksmuide,Brussel,6622,0.38468,17214.23,22.33,28.77,22.11,7.69,24.29,29.35,1.33
4,Martelaars,Brussel,2563,0.3754,6827.28,25.2,30.71,22.82,7.65,16.73,32.69,1.28
5,Onze-Lieve-Vrouw-ter-Sneeuw,Brussel,2468,0.29225,8444.84,24.96,33.35,20.66,6.16,20.19,21.94,1.1
6,Koningswijk,Brussel,330,0.70059,471.03,20.61,24.85,33.64,7.27,7.89,17.19,0.77
7,Zavel,Brussel,2732,0.46349,5894.41,18.23,27.64,28,12.7,18,23.9,1.07
8,Marollen,Brussel,12566,0.64377,19519.32,16,23.25,24.97,12.43,35.48,34.51,1.59
9,Stalingrad,Brussel,3708,0.24173,15339.21,23.33,28.86,20.06,10.49,28.22,30.02,1.29
10,Anneessens,Brussel,10043,0.44349,22645.2,20.21,25.47,21.13,7.39,31.37,27.5,1.52
11,Kuregem Bara,Anderlecht - Sint-Gillis,12235,0.59142,20687.58,17.74,26.26,21.09,6.59,31.36,30.43,1.65
12,Kuregem Veeartsenij,Anderlecht,9795,0.67182,14579.83,15.48,24.37,22.29,8.52,34.19,34.54,1.74
13,Kuregem Dauw,Anderlecht - Sint-Jans-Molenbeek,5956,0.6816,8738.2,17.76,24.23,21.36,6.73,36.95,28.35,1.67
14,Hertogin,Sint-Jans-Molenbeek,5458,0.37168,14684.57,16.73,23.76,19.75,7.59,31.02,27.81,1.55
15,Weststation,Sint-Jans-Molenbeek,9753,0.51702,18863.72,18.23,22.05,20.38,8.02,38.92,30.26,1.73
16,Historisch Molenbeek,Sint-Jans-Molenbeek,17907,0.71923,24897.33,18.36,20.63,22.39,8.49,38.94,29.31,1.72
17,Koekelberg,Koekelberg - Jette,8794,0.35017,25113.58,15.04,24.08,20.37,8.72,29.47,33.11,1.52
18,Havenwijk,Jette - Sint-Jans-Molenbeek - Brussel,17957,1.73776,10333.42,17.61,24.78,20.35,7.63,32.22,27.81,1.48
19,Oud Laken West,Brussel,8344,0.49752,16771.32,17.62,24.14,21.49,7.2,24.99,29.35,1.38
20,Oud Laken Oost,Brussel,18450,1.04934,17582.56,17.46,23.89,20.36,7.99,30.18,29.21,1.49
21,Noordwijk,Brussel - Sint-Joost-ten-Node - Schaarbeek,15781,1.31784,11974.86,17.59,23.67,21.68,9.25,33.3,32.54,1.67
22,Brabantwijk,Brussel - Sint-Joost-ten-Node - Schaarbeek,19390,0.78253,24778.59,18.81,24.39,21.54,7.74,34.08,29.58,1.68
23,Colignon,Schaarbeek,18170,0.77708,23382.33,17.15,24.44,20.82,9.08,29.18,28.93,1.47
24,Haachtse Steenweg,Schaarbeek,18206,0.71268,25545.67,19.42,25.44,21.46,7.59,32.28,30.46,1.77
25,Sint-Joost Centrum,Sint-Joost-ten-Node,19238,0.61971,31043.31,20.02,26.46,21.56,8.53,31.82,29.41,1.54
26,Dailly,Schaarbeek,18125,0.88201,20549.6,18.21,27.36,22.28,8.9,21.46,27.5,1.28
27,Josaphat,Schaarbeek,7368,0.44275,16641.3,17.92,26.06,22.49,11.05,17.84,26.03,1.05
28,Plasky,Schaarbeek,10225,0.50315,20321.92,18.44,28.62,22.9,11.11,13.92,24.69,0.98
29,Squares,Brussel,13642,0.80501,16946.46,19.44,31.64,21.9,8.61,18.8,24.28,1.04
30,Tervurense Poort,Brussel - Schaarbeek - Etterbeek - Sint-Lambrechts-Woluwe,10439,0.91041,11466.32,21.57,26.61,24.08,11.37,13.28,19.67,0.84
31,Sint-Michiel,Etterbeek - Sint-Pieters-Woluwe,7019,0.723,9708.68,18.26,25,24.43,13.81,10.91,17.52,0.7
32,Sint-Pieter,Etterbeek,14274,0.81094,17601.63,20.79,30.1,20.94,11.69,15.48,25.55,1.04
33,Jacht,Etterbeek,18142,1.06125,17094.76,21.28,28.33,21.44,9.69,22.23,27.5,1.22
34,Jourdan,Etterbeek - Elsene,9127,0.54455,16760,20.77,28.21,22.49,9.51,20.73,24.85,1.17
35,Europawijk,Brussel - Elsene,2866,0.9691,2957.45,21.28,36.99,23.03,6.32,13.42,23.99,0.96
36,Matonge,Elsene,9033,0.48634,18570.74,23.07,35.33,20.95,6.49,24.15,25.06,1.2
